ip_address,network,continent_code,continent_name,country_is_in_european_union,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,postal_code,latitude,longitude,accuracy_radius,registered_country_is_in_european_union,registered_country_iso_code,represented_country_is_in_european_union,represented_country_iso_code,represented_country_type,is_anonymous_proxy,is_satellite_provider,autonomous_system_number,autonomous_system_organization,domain,isp,organization,static_ip_score,user_type,country_confidence,subdivision_confidence,city_confidence,postal_confidence,population_density,average_income,user_count,is_anonymous,is_anonymous_vpn,is_tor_exit_node,is_hosting_provider,is_public_proxy,error
107.181.78.166,107.181.78.0/24,EU,Europe,1,NL,Netherlands,NH,North Holland,Amsterdam,,1119,52.2832,4.7521,1000,,US,,,,,,53889,"Micfo, LLC.",contina.com,"Micfo, LLC.","Micfo, LLC.",,hosting,80,20,10,10,2408,31506,,1,,,1,,
94.181.140.9,94.181.140.8/31,EU,Europe,,RU,Russia,PNZ,Penzenskaya Oblast',Penza,,440000,53.1947,44.9953,1,,RU,,,,,,41754,JSC ER-Telecom Holding,ertelecom.ru,JSC ER-Telecom Holding,ER-Telecom,1.8,residential,99,99,90,10,,,,,,,,,
178.175.132.164,178.175.132.128/26,EU,Europe,,MD,Republic of Moldova,CU,Chișinău Municipality,Chisinau,,MD-2000,47.0052,28.8573,1000,,MD,,,,,,43289,I.C.S. Trabia-Network S.R.L.,as43289.net,trabia network,trabia network,,hosting,30,20,20,1,,,,1,,,1,,
198.46.200.147,198.46.200.128/26,NA,North America,,US,United States,CA,California,Los Angeles,803,90009,34.0544,-118.244,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,70,30,30,20,2555,19614,,1,,,1,,
206.217.128.132,206.217.128.128/28,NA,North America,,US,United States,NY,New York,New York,501,10004,40.7145,-74.0029,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,30,10,1,11436,24837,,1,,,1,,
69.4.81.89,69.4.81.89/32,NA,North America,,US,United States,CA,California,San Francisco,807,94119,37.7751,-122.4193,1000,,CA,,,,,,55286,B2 Net Solutions Inc.,,ServerMania,ServerMania,,hosting,99,60,20,0,,,,1,,,1,,
104.144.228.31,104.144.228.0/26,NA,North America,,CA,Canada,ON,Ontario,Stoney Creek,,L8E,43.2183,-79.7036,1000,,CA,,,,,,55286,B2 Net Solutions Inc.,server.com,ServerMania,ServerMania,,hosting,99,60,20,0,,,,1,,,1,,
107.173.2.117,107.173.2.117/32,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,60,20,10,,,1,1,,,1,,
23.95.5.29,23.95.5.24/29,NA,North America,,US,United States,CA,California,San Jose,807,95141,37.3388,-121.8914,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,90,30,10,10,998,27634,,1,,,1,,
23.94.47.124,23.94.47.124/32,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,80,20,20,10,934,24429,2,1,,,1,,
